band,entry_minute,filter,stop_multiplier,calls,train_2017_2023_calls,val_2024_2025_calls,confirm_2026_calls,win_rate,train_2017_2023_win_rate,val_2024_2025_win_rate,confirm_2026_win_rate,avg_pnl_pts,train_2017_2023_avg_pnl_pts,val_2024_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts,mean_target_distance_pts,ambiguous_rate
0.05-0.15,0,none,5.0,428,265,122,41,84.57943925233646,82.64150943396227,93.44262295081968,70.73170731707317,3.111418866822354,0.4751966745283357,16.630820952868877,-20.07804878048889,18.247105549065353,0.0
0.05-0.15,0,not_away_more_than_0.03pct,5.0,428,265,122,41,84.57943925233646,82.64150943396227,93.44262295081968,70.73170731707317,3.111418866822354,0.4751966745283357,16.630820952868877,-20.07804878048889,18.247105549065353,0.0
0.05-0.15,0,none,4.0,428,265,122,41,80.60747663551402,76.60377358490567,92.62295081967213,70.73170731707317,2.5251700569508664,-1.5886301179245423,17.081227587090176,-14.198780487805534,18.247105549065353,0.46728971962616817
0.05-0.15,0,not_away_more_than_0.03pct,4.0,428,265,122,41,80.60747663551402,76.60377358490567,92.62295081967213,70.73170731707317,2.5251700569508664,-1.5886301179245423,17.081227587090176,-14.198780487805534,18.247105549065353,0.46728971962616817
0.03-0.12,0,none,3.0,393,257,104,32,71.2468193384224,67.70428015564202,80.76923076923077,68.75,0.27434317748097653,-1.5589050583655897,6.263033353365315,-4.4656250000003865,12.992941014630949,6.106870229007633
0.03-0.12,0,not_away_more_than_0.03pct,3.0,393,257,104,32,71.2468193384224,67.70428015564202,80.76923076923077,68.75,0.27434317748097653,-1.5589050583655897,6.263033353365315,-4.4656250000003865,12.992941014630949,6.106870229007633
0.03-0.12,0,none,2.5,393,257,104,32,67.43002544529261,64.59143968871595,74.03846153846155,68.75,0.1462590012723582,-1.2336571984434594,4.091150841346321,-1.5921875000003638,12.992941014630949,7.124681933842239
0.03-0.12,0,not_away_more_than_0.03pct,2.5,393,257,104,32,67.43002544529261,64.59143968871595,74.03846153846155,68.75,0.1462590012723582,-1.2336571984434594,4.091150841346321,-1.5921875000003638,12.992941014630949,7.124681933842239
0.05-0.15,10,none,4.0,148,92,37,19,67.56756756756756,64.13043478260869,75.67567567567568,68.42105263157895,1.9345087837837986,-3.011877173912877,7.3202702702698375,15.397368421052784,47.039229476351515,0.0
0.05-0.15,10,none,5.0,148,92,37,19,67.56756756756756,64.13043478260869,75.67567567567568,68.42105263157895,1.7696547297296708,-3.755338043478095,9.756756756756069,12.968421052631655,47.039229476351515,0.0
0.05-0.15,10,not_away_more_than_0.03pct,2.5,29,14,12,3,79.3103448275862,78.57142857142857,83.33333333333334,66.66666666666666,6.945651724137296,2.0302785714288154,13.76458333333206,2.6083333333311507,18.646562068965697,0.0
0.05-0.15,10,not_away_more_than_0.03pct,2.0,29,14,12,3,75.86206896551724,78.57142857142857,75.0,66.66666666666666,7.7947965517235165,3.5463642857144544,13.212499999998727,5.949999999998302,18.646562068965697,0.0
0.02-0.10,0,none,3.0,351,231,93,27,65.8119658119658,63.63636363636363,70.96774193548387,66.66666666666666,-1.7034188034188231,-2.4357142857142056,1.4215053763438983,-6.201851851852148,10.222219017093963,9.971509971509972
0.02-0.10,0,not_away_more_than_0.03pct,3.0,351,231,93,27,65.8119658119658,63.63636363636363,70.96774193548387,66.66666666666666,-1.7034188034188231,-2.4357142857142056,1.4215053763438983,-6.201851851852148,10.222219017093963,9.971509971509972
0.02-0.10,0,none,2.5,351,231,93,27,61.25356125356125,60.17316017316018,62.365591397849464,66.66666666666666,-2.1235732861467143,-2.315477056277058,-1.3067099294353821,-3.295370370370586,10.222219017093963,11.68091168091168
0.02-0.10,0,not_away_more_than_0.03pct,2.5,351,231,93,27,61.25356125356125,60.17316017316018,62.365591397849464,66.66666666666666,-2.1235732861467143,-2.315477056277058,-1.3067099294353821,-3.295370370370586,10.222219017093963,11.68091168091168
0.05-0.15,5,none,5.0,180,109,51,20,71.11111111111111,66.05504587155964,84.31372549019608,65.0,2.7341684895832055,-3.0201804759172948,11.049999999999343,12.889999999999782,38.466972725694504,0.5555555555555556
0.05-0.15,5,none,4.0,180,109,51,20,70.55555555555556,65.13761467889908,84.31372549019608,65.0,2.8527801562499007,-3.5958676318806373,12.31372549019558,13.872499999999855,38.466972725694504,0.5555555555555556
0.05-0.15,10,after_adverse_0.02pct,4.0,126,80,29,17,63.49206349206349,58.75,75.86206896551724,64.70588235294117,0.931007936508072,-5.203662499999814,9.66724137931042,14.897058823529411,52.544092559523946,0.0
0.05-0.15,10,after_adverse_0.02pct,5.0,126,80,29,17,63.49206349206349,58.75,75.86206896551724,64.70588235294117,1.0107825396826229,-6.058642499999815,13.963793103448175,12.182352941176385,52.544092559523946,0.0
0.05-0.15,1,none,5.0,230,144,64,22,76.95652173913044,73.61111111111111,89.0625,63.63636363636363,5.500847119565191,0.0798252604165681,18.81562500000024,2.249999999999669,33.54414000000011,0.0
