family,interval_min,rule,direction,entry_after_bars,target_pct,stop_pct,calls,win_rate,avg_pnl_pts,median_pnl_pts,target_rate,stop_rate,eod_rate,ambiguous_rate,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_win_rate,val_2025_win_rate,confirm_2026_win_rate,train_2017_2024_avg_pnl_pts,val_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts
generic_first_window,10,first20_fade_gt_0.4,DOWN,2,0.3,0.3,142,52.112676056338024,1.5759865985916126,18.0249500000009,47.88732394366197,47.183098591549296,4.929577464788732,2.112676056338028,110,20,12,50.0,55.00000000000001,66.66666666666666,-1.517316390909037,4.930857500000148,24.339812500000004
generic_first_window,10,first20_fade_gt_0.4,DOWN,2,0.15,0.15,142,51.40845070422535,0.734069383098592,12.794587499999999,51.40845070422535,48.59154929577465,0.0,6.338028169014084,110,20,12,50.90909090909091,45.0,66.66666666666666,0.3272045672727273,-3.752441249999998,11.94118125
generic_first_window,10,first10_trend_lt_-0.08,DOWN,1,0.3,0.3,953,56.13850996852047,5.971348821383148,29.65845,52.7806925498426,39.979013641133264,7.240293809024134,0.7345225603357817,791,94,68,55.87863463969659,51.06382978723404,66.17647058823529,4.690572410591815,3.509022340425648,24.27359632352946
generic_first_window,10,first10_trend_lt_-0.1,DOWN,1,0.3,0.3,879,56.20022753128555,6.050689271419957,29.741999999999997,53.35608646188851,40.045506257110354,6.598407281001138,0.7963594994311717,736,79,64,56.25,48.10126582278481,65.625,5.110901385296368,0.7843620253166,23.358872656250043
generic_first_window,10,first10_trend_lt_-0.05,DOWN,1,0.3,0.3,1078,56.029684601113175,5.973835744135562,29.617125,52.50463821892394,39.795918367346935,7.699443413729128,0.6493506493506493,897,106,75,55.852842809364546,50.943396226415096,65.33333333333333,4.805782533085978,3.5077264150944494,23.4291866666667
generic_first_window,10,first10_trend_lt_-0.3,DOWN,1,0.3,0.3,291,57.388316151202744,5.463189548797257,29.625300000000003,55.670103092783506,40.893470790378004,3.436426116838488,2.405498281786942,248,23,20,58.06451612903226,43.47826086956522,65.0,5.400588744758062,-7.2703739130434775,20.883037500000146
generic_first_window,10,first10_trend_lt_-0.3,DOWN,1,0.15,0.15,291,51.20274914089347,0.18379793969072178,13.566074999999998,51.20274914089347,48.797250859106526,0.0,9.965635738831615,248,23,20,51.61290322580645,34.78260869565217,65.0,0.3646735905241936,-11.164271739130433,10.99122
generic_first_window,10,first20_trend_lt_-0.4,DOWN,2,0.3,0.3,245,56.734693877551024,5.823274295510216,29.484149999999996,55.91836734693878,42.04081632653061,2.0408163265306123,1.6326530612244898,210,18,17,58.0952380952381,33.33333333333333,64.70588235294117,7.494688344761916,-25.254350000000002,18.082114705882397
generic_first_window,10,first30_trend_lt_-0.15,DOWN,3,0.2,0.2,814,55.528255528255535,4.000841404000308,20.5303999,55.03685503685504,43.73464373464373,1.2285012285012284,1.4742014742014742,662,87,65,54.68277945619335,55.172413793103445,64.61538461538461,2.7633282520487112,5.026400000000072,15.23176615384613
generic_first_window,15,first30_trend_lt_-0.15,DOWN,2,0.2,0.2,814,55.15970515970516,3.785397670339375,20.3873999,54.66830466830467,44.103194103194106,1.2285012285012284,2.211302211302211,662,87,65,54.229607250755286,55.172413793103445,64.61538461538461,2.4984170750094363,5.026400000000072,15.23176615384613
generic_first_window,10,first10_trend_lt_-0.15,DOWN,1,0.3,0.3,692,57.08092485549133,6.582775251991534,29.719424999999998,54.33526011560693,39.59537572254335,6.069364161849711,1.0115606936416186,574,62,56,57.66550522648084,45.16129032258064,64.28571428571429,5.98465640135562,-1.409155645161091,21.561702678571482
generic_first_window,10,first10_trend_lt_-0.15,DOWN,1,0.2,0.2,692,53.179190751445084,2.0045694757496406,18.83435,52.74566473988439,45.95375722543353,1.300578034682081,2.601156069364162,574,62,56,52.961672473867594,45.16129032258064,64.28571428571429,1.45996389759364,-3.995546774193502,14.229762499999987
generic_first_window,10,first10_trend_lt_-0.4,DOWN,1,0.3,0.3,168,57.738095238095234,5.35536493809524,29.012925,57.14285714285714,41.07142857142857,1.7857142857142856,4.166666666666666,144,10,14,58.333333333333336,40.0,64.28571428571429,5.35450805277778,-15.828074999999998,20.495207142857144
generic_first_window,10,first30_trend_lt_-0.3,DOWN,3,0.2,0.2,441,54.19501133786848,3.3224718825396877,19.777400000000004,54.19501133786848,45.3514739229025,0.45351473922902497,2.7210884353741496,369,36,36,53.116531165311656,55.55555555555556,63.888888888888886,2.1154162607046088,5.937900000000043,13.07936388888889
generic_first_window,15,first30_trend_lt_-0.3,DOWN,2,0.2,0.2,441,53.74149659863946,3.058254196371887,19.7219,53.74149659863946,45.80498866213152,0.45351473922902497,3.8548752834467117,369,36,36,52.574525745257446,55.55555555555556,63.888888888888886,1.7996439040650427,5.937900000000043,13.07936388888889
generic_first_window,10,first20_fade_gt_0.3,DOWN,2,0.3,0.3,248,52.41935483870967,2.1720064178553558,22.589724999998865,48.38709677419355,45.96774193548387,5.64516129032258,1.2096774193548387,196,30,22,50.0,60.0,63.63636363636363,-1.2952906039381358,13.17137333333343,18.063334090909088
generic_first_window,10,first30_trend_gt_0.15,UP,3,0.1,0.1,574,47.73519163763066,-0.6253040983830576,-9.370625,47.73519163763066,52.264808362369344,0.0,8.536585365853659,451,72,51,47.671840354767184,37.5,62.745098039215684,-0.528773730536308,-5.999797222222223,6.1085843137254905
