feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
smart_vs_client_v2inst_lvl_chg4,0.085671,1,down_tail,0.925,,-0.06523219702000001,26,7.58,46.15,19,63.16,0,26,8,3.23,62.5,8,62.5,0,8,0,0.0,,0,,0,0,62.5,62.5,1.615
Client_sput_rflow_sum2,-0.081371,-1,up_tail,0.925,0.04853674575000001,,26,7.58,53.85,18,77.78,26,0,13,5.24,61.54,10,80.0,13,0,7,4.22,85.71,7,85.71,7,0,61.54,80.0,4.73
FII_sfut_qflow,-0.06226,-1,two_tail,0.9,0.009560872,-0.010983612,70,20.41,47.14,54,61.11,35,35,13,5.24,61.54,13,61.54,8,5,2,1.2,100.0,2,100.0,2,0,61.54,61.54,3.22
Client_sput_qflow_sum2,-0.083894,-1,up_tail,0.925,0.044438710750000006,,26,7.58,50.0,18,72.22,26,0,10,4.03,60.0,8,75.0,10,0,5,3.01,100.0,5,100.0,5,0,60.0,75.0,3.52
px_oc1_sum7,-0.080159,-1,up_tail,0.925,2.6010955649999996,,26,7.58,53.85,18,77.78,26,0,5,2.02,60.0,4,75.0,5,0,6,3.61,66.67,5,80.0,6,0,60.0,75.0,2.815
px_oc1_mean7,-0.079451,-1,up_tail,0.925,0.37158508071428564,,26,7.58,53.85,18,77.78,26,0,5,2.02,60.0,4,75.0,5,0,6,3.61,66.67,5,80.0,6,0,60.0,75.0,2.815
Pro_sput_lvl_chg7,0.072346,1,up_tail,0.925,0.12818823499999998,,26,7.58,69.23,24,75.0,26,0,10,4.03,60.0,8,75.0,10,0,1,0.6,100.0,1,100.0,1,0,60.0,75.0,2.315
pro_fii_spread_v3inst_rflow_sum21,0.045428,1,up_tail,0.925,0.1912382202250001,,25,7.29,56.0,22,63.64,25,0,0,0.0,,0,,0,0,5,3.01,60.0,4,75.0,5,0,60.0,75.0,1.505
pro_fii_spread_v3inst_rflow_mean21,0.045946,1,up_tail,0.925,0.009106581915476194,,25,7.29,56.0,22,63.64,25,0,0,0.0,,0,,0,0,5,3.01,60.0,4,75.0,5,0,60.0,75.0,1.505
px_rv20_chg15,0.059954,1,up_tail,0.85,4.816894476000002,,47,13.7,55.32,35,74.29,47,0,15,6.05,60.0,12,75.0,15,0,30,18.07,63.33,26,73.08,30,0,60.0,73.08,12.06
Pro_scall_qflow_posdays4,0.088401,1,up_tail,0.925,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
Pro_scall_qflow_posdays4,0.088401,1,up_tail,0.95,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
Pro_scall_rflow_posdays4,0.088401,1,up_tail,0.925,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
Pro_scall_rflow_posdays4,0.088401,1,up_tail,0.95,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
px_rv20_chg15,0.059954,1,up_tail,0.8,3.8540066280000005,,62,18.08,53.23,47,70.21,62,0,15,6.05,60.0,12,75.0,15,0,33,19.88,60.61,29,68.97,33,0,60.0,68.97,12.965
px_range5_z63,0.054931,1,up_tail,0.9,1.6845861511638487,,32,9.33,50.0,24,66.67,32,0,8,3.23,62.5,8,62.5,8,0,25,15.06,60.0,23,65.22,25,0,60.0,62.5,9.145
Client_scall_qflow_chg15,-0.087756,-1,two_tail,0.95,0.13445643449999903,-0.08024074799999999,34,9.91,52.94,28,64.29,17,17,21,8.47,61.9,21,61.9,10,11,15,9.04,60.0,13,69.23,7,8,60.0,61.9,8.754999999999999
Client_sfut_lvl_z63,-0.050092,-1,up_tail,0.9,1.728840985578812,,33,9.62,42.42,23,60.87,33,0,30,12.1,66.67,28,71.43,30,0,20,12.05,60.0,20,60.0,20,0,60.0,60.0,12.075
px_atr5_z63,0.062094,1,up_tail,0.925,1.9202385674623843,,24,7.0,62.5,20,75.0,24,0,5,2.02,60.0,5,60.0,5,0,24,14.46,62.5,22,68.18,24,0,60.0,60.0,8.24
pro_fii_spread_v3inst_lvl_z21,0.069138,1,up_tail,0.9,1.7019488967480834,,34,9.91,50.0,25,68.0,34,0,18,7.26,61.11,16,68.75,18,0,10,6.02,60.0,10,60.0,10,0,60.0,60.0,6.64
pro_fii_spread_v3inst_lvl_z21,0.069138,1,up_tail,0.925,1.7631880059827778,,26,7.58,46.15,20,60.0,26,0,17,6.85,64.71,15,73.33,17,0,10,6.02,60.0,10,60.0,10,0,60.0,60.0,6.435
mkt_ifut_dlogoi,-0.037871,-1,up_tail,0.925,0.05066743550000001,,26,7.58,53.85,18,77.78,26,0,15,6.05,60.0,15,60.0,15,0,10,6.02,70.0,9,77.78,10,0,60.0,60.0,6.035
pro_fii_agreement_futheavy_qflow_sum4,-0.054697,-1,up_tail,0.85,2.849999999999966,,52,15.16,48.08,36,69.44,52,0,19,7.66,63.16,16,75.0,19,0,5,3.01,60.0,5,60.0,5,0,60.0,60.0,5.335
