outcome,strategy,feature,orientation,mode,quantile,threshold_high,threshold_low,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
close_to_close,v3_vix_agree,vix_low,1,upper,0.7,13.619999885559082,,0.042187,55,16.13,55,0,52.73,42,69.05,41,16.6,41,0,51.22,33,63.64,36,22.93,36,0,47.22,29,58.62,47.22,58.62,19.765
close_to_close,v3_vix_agree,vix_low,1,upper,0.75,13.869999885559082,,0.042187,43,12.61,43,0,55.81,32,75.0,36,14.57,36,0,52.78,29,65.52,36,22.93,36,0,47.22,29,58.62,47.22,58.62,18.75
close_to_close,v3_vix_agree,vix_close,1,both,0.9,16.100000381469727,11.140000343322754,0.042152,32,9.38,17,15,59.38,25,76.0,44,17.81,22,22,50.0,36,61.11,36,22.93,33,3,47.22,30,56.67,47.22,56.67,20.369999999999997
close_to_close,vix_direct,vix_ret5,1,upper,0.8,8.864699640414342,,0.017589,69,20.23,69,0,56.52,56,69.64,28,11.34,28,0,50.0,22,63.64,36,22.93,36,0,47.22,32,53.12,47.22,53.12,17.134999999999998
close_to_close,v3_vix_agree,vix_ret5,1,both,0.8,8.864699640414342,-7.251631637173884,0.017589,51,14.96,28,23,52.94,37,72.97,28,11.34,12,16,50.0,18,77.78,36,22.93,18,18,47.22,33,51.52,47.22,51.52,17.134999999999998
close_to_close,v3_vix_gate,vix_close,1,upper,0.7,14.449999809265137,,0.042152,103,30.21,51,52,45.63,81,58.02,74,29.96,39,35,47.3,61,57.38,70,44.59,37,33,47.14,59,55.93,47.14,55.93,37.275000000000006
close_to_close,vix_direct,vix_z20,1,both,0.8,1.2354010705169314,-1.070259280510736,0.033601,137,40.18,69,68,40.88,102,54.9,119,48.18,38,81,47.06,97,57.73,74,47.13,32,42,48.65,61,59.02,47.06,57.73,47.655
close_to_close,v3_vix_gate,vix_high,1,upper,0.75,15.5,,0.032041,86,25.22,44,42,41.86,67,53.73,68,27.53,36,32,47.06,55,58.18,70,44.59,38,32,48.57,59,57.63,47.06,57.63,36.06
close_to_close,v3_vix_agree,vix_open,1,upper,0.85,15.56999969482422,,0.047486,31,9.09,31,0,54.84,23,73.91,28,11.34,28,0,53.57,24,62.5,34,21.66,34,0,47.06,28,57.14,47.06,57.14,16.5
close_to_close,v3_vix_gate,vix_high,1,upper,0.8,15.729999542236328,,0.032041,70,20.53,38,32,41.43,54,53.7,59,23.89,32,27,47.46,51,54.9,68,43.31,36,32,47.06,57,56.14,47.06,54.9,33.6
close_to_close,vix_direct,vix_ret5,1,upper,0.85,10.180103292558606,,0.017589,52,15.25,52,0,59.62,43,72.09,23,9.31,23,0,56.52,19,68.42,34,21.66,34,0,47.06,30,53.33,47.06,53.33,15.485
close_to_close,v3_vix_gate,vix_open,1,upper,0.8,15.170000076293944,,0.047486,69,20.23,37,32,47.83,55,60.0,57,23.08,32,25,50.88,49,59.18,66,42.04,35,31,46.97,55,56.36,46.97,56.36,32.56
close_to_close,v3_vix_gate,vix_low,1,upper,0.7,13.619999885559082,,0.042187,103,30.21,55,48,43.69,80,56.25,81,32.79,41,40,46.91,64,59.38,67,42.68,36,31,47.76,56,57.14,46.91,57.14,37.735
close_to_close,v3_vix_agree,vix_open,1,lower,0.6,,13.039999961853027,0.047486,69,20.23,0,69,42.03,55,52.73,64,25.91,0,64,46.88,55,54.55,31,19.75,0,31,51.61,27,59.26,46.88,54.55,22.83
close_to_close,v3_vix_gate,vix_low,1,both,0.8,14.18000030517578,10.949999809265137,0.042187,138,40.47,70,68,46.38,113,56.64,143,57.89,75,68,46.85,110,60.91,92,58.6,48,44,46.74,75,57.33,46.74,57.33,58.245000000000005
close_to_close,v3_vix_gate,vix_range_mean20,1,lower,0.8,,9.262536821771926,0.030463,68,19.94,35,33,38.24,49,53.06,130,52.63,60,70,48.46,105,60.0,30,19.11,13,17,46.67,23,60.87,46.67,60.0,35.870000000000005
close_to_close,v3_vix_agree,vix_high,1,lower,0.7,,13.050000190734863,0.032041,49,14.37,0,49,46.94,40,57.5,60,24.29,0,60,46.67,51,54.9,24,15.29,0,24,58.33,20,70.0,46.67,54.9,19.79
close_to_close,v3_vix_gate,vix_close,1,both,0.85,15.5600004196167,11.399999618530272,0.042152,105,30.79,57,48,47.62,86,58.14,116,46.96,62,54,46.55,93,58.06,81,51.59,42,39,48.15,66,59.09,46.55,58.06,49.275000000000006
close_to_close,v3_vix_agree,vix_close,1,lower,0.7,,12.550000190734863,0.042152,48,14.08,0,48,45.83,39,56.41,58,23.48,0,58,46.55,49,55.1,22,14.01,0,22,59.09,18,72.22,46.55,55.1,18.745
close_to_close,v3_vix_agree,vix_high,1,upper,0.6,14.550000190734863,,0.032041,71,20.82,71,0,49.3,52,67.31,43,17.41,43,0,46.51,35,57.14,42,26.75,42,0,52.38,35,62.86,46.51,57.14,22.08
close_to_close,v3_vix_agree,vix_ret5,1,both,0.75,7.060901995780244,-5.608287865806916,0.017589,67,19.65,35,32,49.25,47,70.21,43,17.41,18,25,46.51,29,68.97,42,26.75,22,20,52.38,39,56.41,46.51,56.41,22.08
close_to_close,vix_direct,vix_ret5,1,both,0.9,12.622268646909806,-11.61340436460242,0.017589,70,20.53,35,35,40.0,53,52.83,33,13.36,13,20,48.48,26,61.54,43,27.39,23,20,46.51,37,54.05,46.51,54.05,20.375
close_to_close,v3_vix_gate,vix_ret3,-1,both,0.85,7.430553633121717,-8.724205614332668,-0.040342,104,30.5,48,56,43.27,80,56.25,43,17.41,26,17,46.51,37,54.05,58,36.94,36,22,46.55,52,51.92,46.51,51.92,27.174999999999997
close_to_close,v3_vix_gate,vix_low,1,upper,0.75,13.869999885559082,,0.042187,86,25.22,43,43,45.35,66,59.09,71,28.74,36,35,46.48,56,58.93,67,42.68,36,31,47.76,56,57.14,46.48,57.14,35.71
