date,timestamp,bar_index,open,high,low,close,volume,minute_count,first_timestamp,last_timestamp
2022-12-07,2022-12-07T12:55:00,22,18590.0,18601.9492,18586.5,18600.3496,,10,2022-12-07 12:55:00,2022-12-07 13:04:00
2022-12-07,2022-12-07T13:05:00,23,18599.9004,18607.0,18593.4004,18597.0996,,10,2022-12-07 13:05:00,2022-12-07 13:14:00
2022-12-07,2022-12-07T13:15:00,24,18597.5,18607.4004,18594.4492,18601.6992,,10,2022-12-07 13:15:00,2022-12-07 13:24:00
2022-12-07,2022-12-07T13:25:00,25,18601.8008,18614.8008,18599.3496,18613.5508,,10,2022-12-07 13:25:00,2022-12-07 13:34:00
2022-12-07,2022-12-07T13:35:00,26,18613.3496,18613.3496,18585.4492,18592.1504,,10,2022-12-07 13:35:00,2022-12-07 13:44:00
2022-12-07,2022-12-07T13:45:00,27,18591.8496,18594.8008,18579.4492,18585.3008,,10,2022-12-07 13:45:00,2022-12-07 13:54:00
2022-12-07,2022-12-07T13:55:00,28,18585.4004,18593.3008,18578.5996,18581.5996,,10,2022-12-07 13:55:00,2022-12-07 14:04:00
2022-12-07,2022-12-07T14:05:00,29,18581.8496,18583.9492,18566.5,18570.5508,,10,2022-12-07 14:05:00,2022-12-07 14:14:00
2022-12-07,2022-12-07T14:15:00,30,18570.9004,18589.4492,18568.25,18588.0508,,10,2022-12-07 14:15:00,2022-12-07 14:24:00
2022-12-07,2022-12-07T14:25:00,31,18588.8496,18599.3496,18584.0508,18595.4492,,10,2022-12-07 14:25:00,2022-12-07 14:34:00
2022-12-07,2022-12-07T14:35:00,32,18596.6992,18602.3008,18592.25,18598.5996,,10,2022-12-07 14:35:00,2022-12-07 14:44:00
2022-12-07,2022-12-07T14:45:00,33,18598.9492,18618.9492,18593.75,18594.0508,,10,2022-12-07 14:45:00,2022-12-07 14:54:00
2022-12-07,2022-12-07T14:55:00,34,18594.0,18616.0,18580.6992,18581.5,,10,2022-12-07 14:55:00,2022-12-07 15:04:00
2022-12-07,2022-12-07T15:05:00,35,18581.5996,18586.0996,18550.4004,18553.5996,,10,2022-12-07 15:05:00,2022-12-07 15:14:00
2022-12-07,2022-12-07T15:15:00,36,18554.75,18556.6504,18529.0996,18540.1992,,10,2022-12-07 15:15:00,2022-12-07 15:24:00
2022-12-07,2022-12-07T15:25:00,37,18539.8496,18553.9004,18539.0,18551.5508,,5,2022-12-07 15:25:00,2022-12-07 15:29:00
2022-12-08,2022-12-08T09:15:00,0,18570.8496,18581.25,18537.1992,18551.0508,,10,2022-12-08 09:15:00,2022-12-08 09:24:00
2022-12-08,2022-12-08T09:25:00,1,18551.0996,18580.5996,18550.1504,18569.25,,10,2022-12-08 09:25:00,2022-12-08 09:34:00
2022-12-08,2022-12-08T09:35:00,2,18569.1504,18575.0996,18555.5508,18570.4004,,10,2022-12-08 09:35:00,2022-12-08 09:44:00
2022-12-08,2022-12-08T09:45:00,3,18569.8496,18597.6992,18567.4004,18592.75,,10,2022-12-08 09:45:00,2022-12-08 09:54:00
2022-12-08,2022-12-08T09:55:00,4,18592.5,18624.5508,18592.3496,18623.5,,10,2022-12-08 09:55:00,2022-12-08 10:04:00
2022-12-08,2022-12-08T10:05:00,5,18623.3496,18623.9004,18597.3008,18601.8008,,10,2022-12-08 10:05:00,2022-12-08 10:14:00
2022-12-08,2022-12-08T10:15:00,6,18602.1992,18612.4004,18599.0508,18600.0996,,10,2022-12-08 10:15:00,2022-12-08 10:24:00
2022-12-08,2022-12-08T10:25:00,7,18598.8496,18604.6504,18590.5996,18593.8496,,10,2022-12-08 10:25:00,2022-12-08 10:34:00
