date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-09-13,Pro,36266,49959,430397,180014,1173190,1395519,1272246,1688347,446789,490806,770821,371366,3972967,4332752
2023-09-13,TOTAL,373995,373995,3232279,3232279,5682218,6969899,5682218,6969899,1789045,1032436,1789045,1032436,19079872,19079872
2023-09-14,Client,167685,202831,1563598,209680,3452460,3633691,3639751,3967665,1325867,499091,793575,611517,10642393,9425019
2023-09-14,DII,46629,65419,133818,1649171,0,147670,0,0,1,0,159133,0,328118,1873723
2023-09-14,FII,127098,68261,1140026,1230447,866716,938846,543292,548575,67463,75021,105143,68303,3215170,2564021
2023-09-14,Pro,40359,45260,434875,183019,1206002,1353108,1342136,1557075,465425,493192,800905,387484,3992961,4315878
2023-09-14,TOTAL,381771,381771,3272317,3272317,5525179,6073314,5525179,6073314,1858756,1067304,1858756,1067304,18178641,18178641
2023-09-15,Client,174112,211225,1548851,215281,4431049,5004525,4630960,5237495,1375795,534176,827613,628618,13068508,11751192
2023-09-15,DII,46278,65431,136902,1675906,0,143670,0,0,1,0,169644,0,326851,1910981
2023-09-15,FII,129879,67849,1159978,1180230,1055863,1058600,738333,738369,71805,79341,110749,71773,3555466,2907303
2023-09-15,Pro,39975,45739,431389,205703,1299346,1547330,1416966,1778261,486452,495612,826047,408738,4300104,4681454
2023-09-15,TOTAL,390244,390244,3277120,3277120,6786258,7754125,6786258,7754125,1934053,1109129,1934053,1109129,21250929,21250929
2023-09-18,Client,164286,206393,1550327,215188,5266186,4530245,5335672,5051292,1461552,535058,861489,639985,13507654,12310018
2023-09-18,DII,45478,65431,134958,1679146,0,141170,0,0,1,0,171379,0,321607,1915956
2023-09-18,FII,126026,67031,1163465,1191670,1044378,1006295,747884,608408,75507,82738,114915,73092,3498409,2803000
2023-09-18,Pro,43782,40717,443682,206428,1339215,1382936,1566224,1400946,485856,508493,875133,413212,4203964,4502660
2023-09-18,TOTAL,379572,379572,3292432,3292432,7649779,7060646,7649779,7060646,2022916,1126289,2022916,1126289,21531633,21531633
2023-09-20,Client,172618,192901,1589549,216898,4443624,3024704,4344868,3509893,1562722,519024,898162,650326,11312241,9813048
2023-09-20,DII,45202,65831,131251,1715281,0,119473,0,0,1,0,173265,0,295927,1954377
2023-09-20,FII,95607,61694,1159521,1199685,831002,903042,680785,601529,79048,84530,115434,79592,3152750,2738719
2023-09-20,Pro,48408,41409,465318,213775,1171252,1089413,1420225,1025209,477193,534257,932103,407893,3785841,4040614
2023-09-20,TOTAL,361835,361835,3345639,3345639,6445878,5136632,6445878,5136632,2118964,1137811,2118964,1137811,18546758,18546758
2023-09-21,Client,201652,185172,1581035,215544,4363691,2746250,4206244,3338774,1619014,479386,913155,640995,10991028,9499884
2023-09-21,DII,44156,67831,136890,1713327,0,112452,0,0,1,0,176146,0,293499,1957304
2023-09-21,FII,98667,76102,1160666,1209378,860424,1077157,685438,659349,77882,86364,115657,80974,3361160,2826898
2023-09-21,Pro,45328,60698,479550,219892,1376682,1342772,1709115,1280507,462716,537700,954655,381481,4244748,4606349
2023-09-21,TOTAL,389803,389803,3358141,3358141,6600797,5278631,6600797,5278631,2159613,1103450,2159613,1103450,18890434,18890434
2023-09-22,Client,206114,179633,1598330,220100,5635568,3583907,5367737,4163049,1564299,477145,900277,626490,13065364,11457285
2023-09-22,DII,44728,67778,141127,1721380,0,118233,0,0,0,0,181815,0,304088,1970973
2023-09-22,FII,97366,85274,1162408,1200866,1081328,1241680,978713,864539,78046,85540,114494,80043,3746368,3323928
