date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-10-09,Pro,88524,87407,305589,305608,98340483,89363408,98865870,89355992,1234900,706026,1276526,693605,190038930,190585008
2023-10-09,TOTAL,253639,253639,705427,705427,154947930,148305584,154947930,148305584,2128387,1076984,2128387,1076984,307417951,307417951
2023-10-10,Client,157709,145835,253390,264212,78094072,69272404,78261175,68748363,832642,297964,877575,264001,148908181,148561161
2023-10-10,DII,636,1013,17210,35066,0,4541,0,9910,914,0,9432,0,23301,55421
2023-10-10,FII,33819,31674,172400,122554,9252813,9277008,9212599,9372751,160776,76053,157210,78758,18972869,18975546
2023-10-10,Pro,74707,88349,294937,316105,144001407,147208527,143874518,147631456,1348876,609469,1298991,640727,293537923,293850146
2023-10-10,TOTAL,266871,266871,737937,737937,231348292,225762480,231348292,225762480,2343208,983486,2343208,983486,461442274,461442274
2023-10-11,Client,138826,154280,295601,290413,110677237,100547811,110623055,100385322,936722,317835,931881,302381,212914032,212687332
2023-10-11,DII,0,387,20037,27524,0,4750,0,17490,0,0,2960,0,24787,48361
2023-10-11,FII,35307,23426,158169,144420,14764748,12525284,14985039,12700979,169996,85481,170184,85066,27738985,28109114
2023-10-11,Pro,81074,77114,330590,342040,211955625,193050636,211789516,193024690,1449368,682592,1451061,698461,407549885,407382882
2023-10-11,TOTAL,255207,255207,804397,804397,337397610,306128481,337397610,306128481,2556086,1085908,2556086,1085908,648227689,648227689
2023-10-12,Client,89935,97433,290872,265514,58516060,57839962,58265304,57872313,980235,396692,940400,384395,118113756,117825359
