rule,direction,entry_col,calls,post_entry_hit_rate,post_entry_avg_signed_ret_pct,post_entry_median_signed_ret_pct,oc_direction_n,oc_direction_hit_rate,cc_direction_n,cc_direction_hit_rate,avg_oc_signed_ret_pct,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_post_hit_rate,val_2025_post_hit_rate,confirm_2026_post_hit_rate,train_2017_2024_oc_hit_rate,val_2025_oc_hit_rate,confirm_2026_oc_hit_rate
gap_pct_trend_gt_0.5,UP,open,359,50.41782729805014,-0.09738794479563707,0.057810236493698486,316,52.21518987341772,340,83.82352941176471,-0.09738794479563707,318,18,23,50.314465408805034,55.55555555555556,47.82608695652174,51.60142348754449,52.94117647058824,61.111111111111114
gap_up_0.05_but_first15_down_0.15_fade,DOWN,first15_close,460,49.56521739130435,0.04219087851720757,0.043711346991999606,420,74.28571428571429,396,47.97979797979798,0.39073033742678004,401,38,21,49.37655860349127,52.63157894736842,47.61904761904761,73.42465753424658,80.55555555555556,78.94736842105263
first30_ret_pct_fade_lt_-0.05,UP,first30_close,1133,42.983230361871136,-0.017761088405109007,-0.047124909284549626,1010,28.316831683168314,993,39.97985901309164,-0.33417545196403237,935,116,82,43.42245989304813,36.206896551724135,47.5609756097561,28.65707434052758,22.857142857142858,32.3943661971831
first30_ret_pct_fade_gt_0.2,DOWN,first30_close,446,43.27354260089686,-0.036606154214673135,-0.0535395724074853,401,21.695760598503743,412,29.126213592233007,-0.43849067274085446,349,57,40,43.553008595988544,38.59649122807017,47.5,22.151898734177212,21.568627450980394,17.647058823529413
first60_ret_pct_fade_lt_-0.08,UP,first60_close,1048,43.51145038167939,-0.025884054045787367,-0.040787897196029224,936,23.076923076923077,920,36.30434782608696,-0.41316265977515265,868,106,74,44.00921658986175,36.79245283018868,47.2972972972973,23.711340206185564,15.957446808510639,25.757575757575758
first30_ret_pct_fade_lt_-0.3,UP,first30_close,441,45.57823129251701,0.06176762172101812,-0.030842448195918064,405,21.728395061728396,403,34.98759305210918,-0.49818634781188204,369,36,36,46.070460704607044,38.88888888888889,47.22222222222222,21.994134897360702,15.625,25.0
first15_ret_pct_fade_lt_-0.15,UP,first15_close,736,43.20652173913043,-0.022773445476386756,-0.0442127472472629,670,27.313432835820894,650,38.92307692307692,-0.3846022262618564,614,69,53,43.48534201954398,37.68115942028986,47.16981132075472,28.214285714285715,17.741935483870968,29.166666666666668
first15_ret_pct_fade_lt_-0.03,UP,first15_close,1179,43.68108566581849,-0.014688649073555743,-0.029822386387358717,1043,32.21476510067114,1030,44.46601941747573,-0.2749220797104332,971,123,85,43.97528321318229,39.02439024390244,47.05882352941176,32.752613240418114,27.522935779816514,32.87671232876712
first15_ret_pct_fade_lt_-0.05,UP,first15_close,1111,43.56435643564357,-0.014296600410811253,-0.03386808898789041,989,31.445904954499493,970,43.1958762886598,-0.28806827806516666,916,116,79,43.88646288209607,38.793103448275865,46.835443037974684,31.990231990231987,27.184466019417474,31.343283582089555
first15_ret_pct_trend_gt_0.08,UP,first15_close,751,49.66711051930759,0.0010423441761339008,0.04317862047466995,676,68.63905325443787,682,67.00879765395894,0.2543872091609295,598,91,62,48.99665551839465,56.043956043956044,46.774193548387096,67.5925925925926,72.61904761904762,73.07692307692307
first15_ret_pct_trend_gt_0.03,UP,first15_close,916,48.68995633187773,-0.013500958229414547,0.03261229249235019,821,65.6516443361754,831,64.74127557160048,0.20432505225363282,734,107,75,47.956403269754766,55.140186915887845,46.666666666666664,64.9390243902439,69.0,67.6923076923077
first15_ret_pct_trend_lt_-0.2,DOWN,first15_close,557,48.83303411131059,0.02456102887225845,0.040192926045008626,504,75.59523809523809,492,64.02439024390245,0.44699660258563556,463,51,43,49.46004319654428,45.09803921568628,46.51162790697674,74.7016706443914,82.97872340425532,76.31578947368422
first15_ret_pct_fade_lt_-0.2,UP,first15_close,557,43.62657091561939,-0.02456102887225845,-0.040192926045008626,504,24.404761904761905,492,35.97560975609756,-0.44699660258563556,463,51,43,43.84449244060475,39.21568627450981,46.51162790697674,25.29832935560859,17.02127659574468,23.684210526315788
first30_ret_pct_fade_gt_0.05,DOWN,first30_close,870,43.44827586206896,-0.0162666946535353,-0.049684342932872355,772,29.015544041450774,783,30.01277139208174,-0.28230420420309427,697,102,71,43.90243902439025,38.23529411764706,46.478873239436616,29.61165048543689,26.881720430107524,26.229508196721312
first60_ret_pct_trend_lt_-0.4,DOWN,first60_close,372,50.26881720430107,-0.0036748340444448207,0.0504584947983452,355,84.78873239436619,343,73.76093294460642,0.689772659827986,314,30,28,51.27388535031847,43.333333333333336,46.42857142857143,85.33333333333334,89.65517241379311,73.07692307692307
gap_pct_fade_gt_0.1,DOWN,open,1301,50.80707148347425,0.08370456166636811,0.06012532708589528,1146,53.57766143106457,1144,29.37062937062937,0.08370456166636811,1126,106,69,50.97690941385436,51.886792452830186,46.3768115942029,53.96984924623116,52.63157894736842,48.214285714285715
gap_pct_fade_gt_0.2,DOWN,open,1019,49.95093228655544,0.08508003810621834,0.04982546199282105,899,52.947719688542826,903,25.359911406423034,0.08508003810621834,894,73,52,50.11185682326622,50.68493150684932,46.15384615384615,53.15656565656566,53.03030303030303,48.78048780487805
gap_pct_trend_lt_-0.35,DOWN,open,285,43.859649122807014,-0.054747204407274604,-0.07741998414923557,258,45.348837209302324,270,83.33333333333334,-0.054747204407274604,222,24,39,45.04504504504504,29.166666666666668,46.15384615384615,46.96969696969697,30.434782608695656,45.94594594594595
first30_ret_pct_trend_gt_0.3,UP,first30_close,281,51.60142348754449,0.05764339240174828,0.08145083070395392,258,81.3953488372093,265,70.94339622641509,0.5509358318600869,219,36,26,52.51141552511416,50.0,46.15384615384615,80.88235294117648,83.87096774193549,82.6086956521739
first60_ret_pct_trend_lt_-0.15,DOWN,first60_close,858,50.58275058275058,0.02790705525209048,0.05696374242491568,779,80.23106546854942,760,67.76315789473685,0.4762565273040872,711,86,61,51.19549929676512,48.837209302325576,45.90163934426229,79.75270479134467,85.71428571428571,78.18181818181819
first60_ret_pct_fade_lt_-0.15,UP,first60_close,858,42.65734265734265,-0.02790705525209048,-0.05696374242491568,779,19.768934531450576,760,32.23684210526316,-0.4762565273040872,711,86,61,42.897327707454295,38.372093023255815,45.90163934426229,20.247295208655334,14.285714285714285,21.818181818181817
first15_ret_pct_trend_lt_-0.03,DOWN,first15_close,1179,48.26123833757421,0.014688649073555743,0.029822386387358717,1043,67.78523489932886,1030,55.533980582524265,0.2749220797104332,971,123,85,48.71266735324408,46.34146341463415,45.88235294117647,67.24738675958189,72.47706422018348,67.12328767123287
gap_pct_fade_lt_-0.1,UP,open,584,46.4041095890411,-0.023036184589407104,-0.01305781974322796,521,49.32821497120921,535,23.364485981308412,-0.023036184589407104,445,67,72,46.51685393258427,46.26865671641791,45.83333333333333,50.0,46.666666666666664,47.61904761904761
gap_up_0.05_but_first15_down_0.1_fade,DOWN,first15_close,580,49.137931034482754,0.02776462890388771,0.04074410426062673,524,71.94656488549617,497,45.87525150905433,0.33038929966182023,507,49,24,49.30966469428008,48.97959183673469,45.83333333333333,71.39737991266377,73.91304347826086,80.0
gap_pct_fade_gt_0.05,DOWN,open,1424,50.70224719101124,0.08462473256763359,0.056981416687565484,1253,53.63128491620112,1247,30.87409783480353,0.08462473256763359,1219,124,81,51.025430680885975,50.806451612903224,45.67901234567901,54.24044734389562,51.32743362831859,47.76119402985074
gap_pct_trend_gt_0.05,UP,open,1424,44.17134831460674,-0.08462473256763359,-0.056981416687565484,1253,46.36871508379888,1247,69.12590216519648,-0.08462473256763359,1219,124,81,43.80639868744873,46.774193548387096,45.67901234567901,45.75955265610438,48.67256637168141,52.23880597014925
first15_ret_pct_trend_gt_0.1,UP,first15_close,681,49.48604992657856,0.008923314980100282,0.04277407197605493,613,69.65742251223492,620,67.0967741935484,0.27901635584674733,542,82,57,48.8929889298893,56.09756097560976,45.614035087719294,68.57142857142857,73.68421052631578,74.46808510638297
first30_ret_pct_fade_gt_0.08,DOWN,first30_close,788,44.03553299492386,-0.009585213068172086,-0.04255424902169664,699,28.32618025751073,713,30.995792426367462,-0.2966478467300551,628,92,68,44.745222929936304,38.04347826086957,45.588235294117645,29.211469534050178,25.301204819277107,24.137931034482758
first15_ret_pct_trend_lt_-0.05,DOWN,first15_close,1111,48.60486048604861,0.014296600410811253,0.03386808898789041,989,68.5540950455005,970,56.8041237113402,0.28806827806516666,916,116,79,49.23580786026201,45.689655172413794,45.56962025316456,68.00976800976801,72.81553398058253,68.65671641791045
first15_ret_pct_fade_gt_0.15,DOWN,first15_close,524,44.465648854961835,-0.02598676157343698,-0.03944358109577492,470,27.659574468085108,479,31.315240083507305,-0.3400081717701943,423,57,44,44.2080378250591,45.614035087719294,45.45454545454545,28.421052631578945,28.846153846153843,18.421052631578945
first30_ret_pct_fade_lt_-0.08,UP,first30_close,1039,42.73339749759384,-0.010999208270359856,-0.04792318349351294,929,27.018299246501616,913,39.32092004381161,-0.35017508150685567,857,107,75,43.52392065344224,34.57943925233645,45.33333333333333,27.77053455019557,19.587628865979383,29.230769230769234
first30_ret_pct_fade_gt_0.1,DOWN,first30_close,724,43.784530386740336,-0.006573396778248759,-0.046671467154583965,645,27.286821705426355,657,30.898021308980212,-0.31110657551502646,573,87,64,44.67713787085515,36.7816091954023,45.3125,28.180039138943247,24.050632911392405,23.636363636363637
first15_ret_pct_trend_lt_-0.15,DOWN,first15_close,736,49.45652173913043,0.022773445476386756,0.0442127472472629,670,72.68656716417911,650,61.07692307692307,0.3846022262618564,614,69,53,49.8371335504886,49.275362318840585,45.28301886792453,71.78571428571429,82.25806451612904,70.83333333333334
first30_ret_pct_fade_gt_0.15,DOWN,first30_close,574,42.508710801393725,-0.03105176600327665,-0.0535395724074853,511,23.28767123287671,522,29.310344827586203,-0.3824375532915784,451,72,51,43.23725055432372,36.11111111111111,45.09803921568628,23.690773067331673,22.727272727272727,20.454545454545457
gap_pct_fade_lt_-0.05,UP,open,660,45.909090909090914,-0.01998140849642881,-0.01305781974322796,583,48.88507718696398,596,25.0,-0.01998140849642881,495,85,80,46.26262626262626,44.70588235294118,45.0,49.430523917995444,47.2972972972973,47.14285714285714
gap_pct_trend_gt_0.1,UP,open,1301,44.273635664873176,-0.08370456166636811,-0.06012532708589528,1146,46.42233856893543,1144,70.62937062937063,-0.08370456166636811,1126,106,69,44.13854351687389,45.28301886792453,44.927536231884055,46.030150753768844,47.368421052631575,51.78571428571429
first60_ret_pct_trend_lt_-0.08,DOWN,first60_close,1048,49.713740458015266,0.025884054045787367,0.040787897196029224,936,76.92307692307693,920,63.69565217391304,0.41316265977515265,868,106,74,50.0,50.943396226415096,44.5945945945946,76.28865979381443,84.04255319148936,74.24242424242425
gap_down_0.05_and_first15_down_0.05,DOWN,first15_close,276,47.10144927536232,-0.03299002640333974,0.021674206345360825,245,65.71428571428571,253,82.21343873517787,0.28732510259039784,208,32,36,48.07692307692308,43.75,44.44444444444444,64.36170212765957,76.92307692307693,64.51612903225806
gap_down_0.05_and_first15_down_0.15,DOWN,first15_close,190,47.89473684210526,-0.039479271653795625,0.03247692925851973,170,70.0,175,86.28571428571429,0.378095574381328,144,19,27,49.30555555555556,42.10526315789473,44.44444444444444,68.93939393939394,85.71428571428571,66.66666666666666
first15_ret_pct_trend_lt_-0.1,DOWN,first15_close,927,48.975188781014026,0.012735266595024207,0.041901241995784475,836,70.57416267942584,815,58.895705521472394,0.32590959225366234,776,90,61,49.48453608247423,47.77777777777778,44.26229508196721,69.65811965811966,79.01234567901234,69.81132075471697
gap_pct_trend_gt_0.2,UP,open,1019,45.14229636898921,-0.08508003810621834,-0.04982546199282105,899,47.052280311457174,903,74.64008859357698,-0.08508003810621834,894,73,52,45.07829977628635,46.57534246575342,44.230769230769226,46.84343434343434,46.96969696969697,51.21951219512195
first60_ret_pct_trend_lt_-0.3,DOWN,first60_close,528,50.378787878787875,0.010198270123485469,0.05278190595594748,487,83.5728952772074,479,71.18997912317327,0.6007551492970157,437,48,43,51.7162471395881,43.75,44.18604651162791,83.4567901234568,90.69767441860465,76.92307692307693
first30_ret_pct_fade_lt_-0.2,UP,first30_close,649,42.83513097072419,0.01639448507447345,-0.04858652093301668,590,22.54237288135593,582,35.223367697594504,-0.44260844618707385,532,67,50,43.045112781954884,40.298507462686565,44.0,22.950819672131146,18.64406779661017,23.25581395348837
first60_ret_pct_trend_lt_-0.1,DOWN,first60_close,986,49.49290060851927,0.02496558325700866,0.03855455527105651,879,77.92946530147896,868,64.40092165898618,0.43098417414158197,816,101,69,50.0,49.504950495049506,43.47826086956522,77.50342935528121,84.26966292134831,73.77049180327869
