feature,ic_cc_dev,ic_oc_dev,ic_cc_val,ic_oc_val,ic_cc_confirm,ic_oc_confirm,signacc_p50_dev,signacc_n_dev,signacc_p50_val,signacc_n_val,signacc_p50_confirm,signacc_n_confirm,abs_ic_dev
Pro_scall_volshare,0.1314,0.1304,0.019,0.0195,0.1106,0.0211,59.86,142,48.96,96,47.79,136,0.1314
Pro_index_qflow_sum3,0.1311,0.0451,0.0594,-0.0122,0.0669,-0.0146,57.26,124,51.02,98,57.38,61,0.1311
DII_scall_qflow_sum5,0.1311,0.1051,-0.0076,0.0004,0.1128,0.092,57.36,129,50.48,105,58.82,85,0.1311
DII_ifut_dvol,0.1306,0.149,0.0041,0.0609,-0.03,-0.0867,60.45,134,53.02,149,49.11,112,0.1306
Pro_index_qflow_sum5,0.1306,0.0247,0.1405,0.0388,0.0409,-0.1032,62.7,126,60.81,74,52.27,44,0.1306
Pro_sput_volshare,0.1298,0.1074,0.0468,-0.0083,-0.0433,-0.1234,60.14,143,49.46,93,48.15,135,0.1298
Pro_icall_qflow_sum2,0.1293,0.0406,0.0222,-0.0177,0.0205,0.0385,52.31,130,53.7,108,51.35,74,0.1293
Pro_icall_rflow_sum2,0.1287,0.0455,-0.0078,-0.0464,0.0001,0.0237,60.0,135,52.34,107,47.06,68,0.1287
Pro_ifut_qflow_sum5,0.1286,0.0687,0.0229,-0.0263,-0.1016,-0.0717,59.54,131,50.0,102,40.58,69,0.1286
px_gap1,0.1281,0.0544,0.0065,-0.019,-0.1161,-0.0175,61.31,137,51.95,77,44.59,74,0.1281
Client_scall_rflow_sum2,-0.1258,-0.0828,-0.0379,0.0281,-0.0994,0.0038,42.75,131,44.83,87,43.28,67,0.1258
Pro_index_qflow_sum2,0.1236,0.0033,0.0956,0.007,0.1137,0.0415,59.84,122,54.44,90,55.22,67,0.1236
Client_icall_qflow_sum2,-0.1234,-0.0327,0.0088,-0.0052,-0.0316,-0.0375,43.65,126,50.0,116,47.83,69,0.1234
FII_sput_rflow_sum2,0.1232,0.0551,0.1035,0.1634,-0.0562,-0.0393,55.3,132,53.4,103,52.86,70,0.1232
Client_scall_qflow_sum5,-0.1228,-0.1001,-0.0323,0.0075,-0.111,-0.0738,42.75,131,52.69,93,38.89,72,0.1228
Pro_icall_qflow_sum5,0.1228,0.0459,0.0832,0.0117,0.0748,-0.0471,61.19,134,58.06,93,53.33,60,0.1228
Client_icall_rflow_sum5,-0.121,-0.0534,0.0029,0.0167,-0.0751,0.0351,36.76,136,54.22,83,44.44,45,0.121
Client_scall_qflow_sum2,-0.1208,-0.0824,-0.0381,0.0273,-0.0974,0.0067,45.11,133,45.65,92,42.03,69,0.1208
Client_index_rflow_sum2,-0.1207,-0.0226,-0.0708,0.0126,-0.0707,-0.0051,40.16,122,44.44,90,48.05,77,0.1207
DII_ifut_rflow,0.1192,0.1452,-0.0005,0.0503,-0.0656,-0.068,57.89,133,53.44,131,50.0,92,0.1192
DII_ifut_rflow_sum5,0.1188,0.1169,0.0566,0.1221,0.0418,0.0157,57.66,137,53.96,139,55.32,94,0.1188
DII_ifut_qflow,0.1173,0.1449,-0.0013,0.0524,-0.0674,-0.0733,58.21,134,54.62,130,48.39,93,0.1173
Pro_scall_qflow_sum2,0.1152,0.077,0.0633,-0.0154,0.1329,0.0153,53.44,131,55.88,102,61.9,63,0.1152
Pro_index_qflow,0.1152,-0.0004,0.0776,0.027,0.0692,-0.0718,57.89,133,54.02,87,50.0,64,0.1152
Pro_ifut_rflow_sum5,0.1152,0.058,0.0512,0.0117,-0.1121,-0.118,58.46,130,54.55,99,42.11,76,0.1152
Pro_scall_rflow_sum2,0.1149,0.0754,0.0649,-0.0085,0.1255,0.0144,56.82,132,56.98,86,59.65,57,0.1149
FII_icall_ds,-0.1145,-0.1011,0.0309,0.0359,-0.1192,-0.0335,42.86,126,54.35,92,44.44,54,0.1145
FII_sput_qflow_sum2,0.1142,0.0567,0.0898,0.1475,-0.0485,-0.0298,53.03,132,53.21,109,55.07,69,0.1142
Pro_icall_ds,-0.114,-0.065,0.0137,0.035,-0.0998,0.0198,41.09,129,53.44,131,45.88,85,0.114
Client_icall_dl,-0.1139,-0.07,0.0029,0.0255,-0.1587,-0.0783,43.85,130,51.69,89,41.94,62,0.1139
Client_icall_qflow,-0.1122,-0.0324,0.0312,0.0456,-0.0723,-0.0101,43.51,131,51.43,105,50.77,65,0.1122
FII_scall_rflow_sum5,0.111,0.0981,-0.0255,-0.031,0.0832,0.0675,58.27,127,46.39,97,59.49,79,0.111
DII_index_qflow,0.1105,0.1614,-0.0069,0.0255,-0.0517,-0.0191,57.89,133,50.86,116,48.75,80,0.1105
Pro_index_rflow,0.1105,-0.0044,0.0598,0.009,0.0681,-0.0675,57.04,135,50.0,88,54.1,61,0.1105
Pro_icall_qflow,0.1101,0.0218,0.0488,-0.0054,0.0771,-0.009,56.06,132,53.98,113,50.72,69,0.1101
