w_pro,w_fii,w_contra,dev_exact,dev_cov,dev_sign,val_exact,val_sign,conf_exact,conf_sign,conf_sign_n,dev_score
1.0,0.05,0.05,38.19,76.09,57.0,39.52,54.67,36.14,50.98,102,49.476
0.95,0.05,0.05,38.19,76.09,57.0,39.11,54.36,36.14,50.98,102,49.476
0.55,0.2,0.15,38.19,72.89,56.99,37.1,54.55,37.95,54.0,100,49.47
0.7,0.25,0.2,38.19,72.89,56.99,37.1,54.55,38.55,53.92,102,49.47
0.85,0.3,0.25,38.19,72.89,56.99,37.1,54.55,38.55,53.4,103,49.47
0.9,0.35,0.25,38.19,72.89,56.99,37.1,54.55,36.75,53.06,98,49.47
1.0,0.35,0.3,38.19,72.89,56.99,37.1,54.55,38.55,53.4,103,49.47
0.7,1.0,-0.3,31.2,38.19,61.62,35.48,56.67,28.92,50.0,66,49.452
0.35,0.5,-0.15,31.2,38.19,61.62,35.48,56.67,28.92,50.0,66,49.452
0.15,0.15,-0.2,23.62,2.04,66.67,22.18,37.5,18.07,20.0,5,49.45
0.65,0.1,-0.05,37.32,70.85,57.53,38.71,53.68,33.73,54.02,87,49.446
0.35,0.8,-0.2,31.78,37.03,61.22,33.87,54.65,31.33,51.43,70,49.444
0.75,0.0,0.05,38.19,76.97,56.93,39.52,55.26,34.94,49.51,103,49.434
0.7,0.0,0.05,38.19,76.97,56.93,39.52,55.26,34.94,49.51,103,49.434
0.8,0.0,0.05,38.19,76.97,56.93,39.92,55.26,34.94,50.0,102,49.434
0.9,0.0,0.2,38.19,76.97,56.93,38.31,53.55,37.35,51.89,106,49.434
0.45,0.0,0.1,38.19,76.97,56.93,38.31,53.55,37.35,51.89,106,49.434
0.5,0.65,-0.2,31.49,38.78,61.39,35.48,56.67,28.92,49.25,67,49.42999999999999
0.4,0.1,0.15,38.19,73.76,56.92,37.9,55.1,37.95,53.85,104,49.428
0.5,0.1,0.15,38.19,73.76,56.92,38.71,55.03,37.35,53.4,103,49.428
0.7,0.15,0.2,38.19,73.76,56.92,38.71,55.03,37.35,53.4,103,49.428
0.45,0.1,0.1,38.19,73.76,56.92,38.71,54.73,35.54,52.0,100,49.428
1.0,0.2,0.25,38.19,73.76,56.92,38.71,55.03,36.75,51.92,104,49.428
0.8,0.2,0.3,38.19,73.76,56.92,37.9,55.1,37.95,53.85,104,49.428
0.8,0.15,0.2,38.19,73.76,56.92,39.11,54.67,36.75,51.92,104,49.428
1.0,0.2,0.3,38.19,73.76,56.92,38.71,55.03,37.35,53.4,103,49.428
0.95,0.2,0.3,38.19,73.76,56.92,38.71,55.03,37.35,53.4,103,49.428
0.75,0.15,0.25,38.19,73.76,56.92,38.71,55.03,37.35,53.4,103,49.428
0.9,0.2,0.2,38.19,73.76,56.92,38.71,54.73,35.54,52.0,100,49.428
