w_call,w_put,w_fut,dev_exact,dev_sign,val_sign,conf_sign,dev_score
0.9,0.0,0.7,37.9,56.92,50.65,51.49,49.312
0.8,0.9,1.0,37.32,57.3,56.06,55.45,49.30799999999999
0.6,0.7,0.8,37.32,57.3,56.39,55.88,49.30799999999999
0.7,0.8,0.9,37.32,57.3,56.39,55.88,49.30799999999999
0.1,0.6,0.9,37.32,57.3,56.93,55.56,49.30799999999999
0.4,0.2,0.3,37.9,56.91,53.28,54.74,49.306
0.7,0.9,0.6,37.9,56.91,56.12,54.55,49.306
0.8,0.4,0.6,37.9,56.91,53.28,54.74,49.306
0.0,0.4,0.5,39.07,56.12,57.34,54.17,49.3
0.0,0.8,1.0,39.07,56.12,57.34,54.17,49.3
0.6,0.1,0.9,36.44,57.87,51.47,53.33,49.297999999999995
0.7,0.2,0.9,37.03,57.46,50.74,52.43,49.288
0.2,0.5,0.9,37.61,57.07,54.81,55.45,49.286
0.6,0.8,0.7,37.61,57.07,56.62,54.08,49.286
0.1,0.7,0.8,37.61,57.07,58.27,57.58,49.286
0.7,0.8,0.7,37.61,57.07,55.8,55.45,49.286
1.0,0.3,0.1,39.65,55.71,52.9,50.98,49.286
0.9,0.4,0.6,37.61,57.07,52.45,54.17,49.286
0.4,0.6,0.8,36.73,57.63,57.04,54.9,49.27
0.2,0.3,0.4,36.73,57.63,57.04,54.9,49.27
0.7,0.9,1.0,36.73,57.63,55.88,55.45,49.27
0.0,1.0,0.9,39.07,56.06,57.05,56.25,49.264
1.0,0.8,0.4,37.9,56.84,53.15,52.0,49.263999999999996
0.5,0.4,0.2,37.9,56.84,53.15,52.0,49.263999999999996
1.0,0.7,0.5,37.9,56.84,53.9,52.53,49.263999999999996
0.2,1.0,0.9,38.78,56.25,58.45,58.0,49.262
0.6,0.3,0.8,37.32,57.22,51.85,56.57,49.260000000000005
0.2,1.0,0.8,39.36,55.84,56.64,57.58,49.248
0.1,0.5,0.4,39.36,55.84,56.64,57.58,49.248
1.0,0.2,0.2,39.94,55.45,52.56,48.57,49.246
0.5,0.1,0.1,39.94,55.45,52.56,48.57,49.246
0.7,0.3,0.2,38.78,56.22,52.32,50.0,49.244
0.5,0.0,0.5,37.61,56.99,50.68,52.0,49.238
0.4,0.0,0.4,37.61,56.99,50.68,52.0,49.238
0.1,0.0,0.1,37.61,56.99,50.68,52.0,49.238
0.6,0.0,0.6,37.61,56.99,50.68,52.0,49.238
0.2,0.0,0.2,37.61,56.99,50.68,52.0,49.238
0.1,0.8,0.9,37.61,56.99,59.15,57.14,49.238
0.8,0.0,0.8,37.61,56.99,50.68,52.0,49.238
1.0,0.0,1.0,37.61,56.99,50.68,52.0,49.238
0.3,0.0,0.3,37.61,56.99,50.68,52.0,49.238
0.9,0.0,0.9,37.61,56.99,50.68,52.0,49.238
0.7,0.0,0.7,37.61,56.99,50.68,52.0,49.238
0.7,0.3,0.5,37.9,56.77,51.75,54.26,49.221999999999994
0.2,0.4,0.5,37.32,57.14,56.3,55.56,49.212
0.4,0.8,1.0,37.32,57.14,56.3,55.56,49.212
0.0,0.5,0.6,39.36,55.78,58.04,54.64,49.211999999999996
0.8,1.0,1.0,37.61,56.91,55.8,55.0,49.19
0.4,0.5,0.5,37.61,56.91,55.8,55.0,49.19
0.0,0.8,0.8,38.78,56.12,58.22,55.67,49.184
0.0,0.7,0.7,38.78,56.12,58.22,55.67,49.184
0.0,0.3,0.3,38.78,56.12,58.22,55.67,49.184
0.0,0.1,0.1,38.78,56.12,58.22,55.67,49.184
0.0,1.0,1.0,38.78,56.12,58.22,55.67,49.184
0.0,0.9,0.9,38.78,56.12,58.22,55.67,49.184
0.0,0.5,0.5,38.78,56.12,58.22,55.67,49.184
0.0,0.6,0.6,38.78,56.12,58.22,55.67,49.184
0.3,0.1,1.0,38.48,56.32,50.0,55.77,49.184
0.0,0.2,0.2,38.78,56.12,58.22,55.67,49.184
0.0,0.4,0.4,38.78,56.12,58.22,55.67,49.184
0.5,0.3,0.2,37.9,56.7,54.17,49.0,49.18000000000001
