participants,flow,instruments,thr,dev_exact,dev_cov,dev_sign,val_exact,val_cov,val_sign,conf_exact,conf_cov,conf_sign,conf_sign_n,dev_score
pf_6040_c10neg,q,c45p45f1,0.025,40.52,91.25,53.91,42.34,90.73,53.59,42.17,90.96,52.8,125,47.215
pf_6040_c10neg,r,opt_only,0.025,39.94,93.59,54.47,39.52,91.53,54.24,41.57,89.16,52.03,123,47.205
v2_p0.53_f0.27_c0.20,q,c2p2f6,0.125,36.15,59.48,58.23,39.11,60.48,54.76,37.95,71.69,55.1,98,47.19
pf_5050,r,opt_only,0.025,39.94,94.46,54.44,39.92,92.34,55.06,42.17,93.37,52.34,128,47.19
pf_4555_c10,q,opt_only,0.05,40.23,85.42,54.15,39.11,84.68,55.49,39.76,86.75,52.54,118,47.19
v2_p0.53_f0.27_c0.20,q,c45p45f1,0.025,40.52,93.88,53.82,42.74,93.95,54.3,41.57,96.99,52.67,131,47.17
v2_p0.53_f0.27_c0.20,q,fut_only,0.05,39.07,86.88,55.26,36.69,89.52,50.87,40.96,88.55,52.89,121,47.165
pf_6040_c10neg,r,opt_only,0.0,41.11,100.0,53.21,43.55,100.0,55.1,42.77,100.0,52.21,136,47.16
fii_only,r,c4p4f2,0.0,41.11,100.0,53.21,41.53,100.0,52.55,42.77,100.0,52.21,136,47.16
pro_only,q,c3p3f4,0.0,41.11,100.0,53.21,43.15,100.0,54.59,40.36,100.0,49.26,136,47.16
pf_4555_c10,q,fut_only,0.0,41.11,100.0,53.21,40.32,100.0,51.02,42.77,100.0,52.21,136,47.16
v2_p0.53_f0.27_c0.20,q,opt_only,0.0,41.11,100.0,53.21,41.94,100.0,53.06,42.77,100.0,52.21,136,47.16
fii_only,r,c2p2f6,0.0,41.11,100.0,53.21,40.32,100.0,51.02,45.78,100.0,55.88,136,47.16
pf_6040,q,c4p4f2,0.0,41.11,100.0,53.21,42.74,100.0,54.08,43.98,100.0,53.68,136,47.16
pf_5050,r,fut_only,0.0,41.11,100.0,53.21,40.73,100.0,51.53,42.77,100.0,52.21,136,47.16
v2_p0.53_f0.27_c0.20,q,opt_only,0.025,40.52,94.75,53.78,40.73,92.74,54.14,39.76,93.37,51.59,126,47.150000000000006
fii_only,r,c3p3f4,0.125,39.36,79.59,54.93,41.53,73.79,50.0,41.57,82.53,55.75,113,47.144999999999996
pf_6040,r,c4p4f2,0.05,40.23,88.05,54.04,42.74,85.48,54.65,42.77,87.35,55.0,120,47.135
v2_p0.53_f0.27_c0.20,q,c45p45f1,0.1,38.48,74.64,55.78,39.11,73.79,54.05,39.76,75.3,54.81,104,47.129999999999995
pf_6040_c10neg,q,c3p3f4,0.05,37.32,74.64,56.92,37.1,71.77,53.52,41.57,78.92,57.41,108,47.120000000000005
v2_p0.53_f0.27_c0.20,q,c4p4f2,0.025,40.52,91.55,53.69,43.95,92.74,54.3,43.98,93.98,54.26,129,47.105000000000004
pro_only,q,c45p45f1,0.05,40.23,89.8,53.97,41.53,88.71,55.75,39.16,87.95,50.83,120,47.099999999999994
fii_only,q,fut_only,0.025,40.52,98.25,53.67,39.11,97.18,50.53,45.18,97.59,55.64,133,47.095
v2_p0.53_f0.27_c0.20,r,opt_only,0.05,39.36,91.25,54.81,39.92,87.9,54.07,40.36,87.35,52.94,119,47.085
pf_4555_c10,r,opt_only,0.025,39.94,94.75,54.22,39.92,92.74,54.75,41.57,94.58,51.94,129,47.08
pf_5050,r,c2p2f6,0.05,39.36,82.22,54.79,37.9,85.89,50.89,43.98,86.14,57.63,118,47.075
v2_p0.53_f0.27_c0.20,q,c4p4f2,0.1,37.9,72.3,56.25,37.5,72.58,54.55,37.95,72.29,53.0,100,47.075
pro_only,q,c45p45f1,0.1,38.48,80.47,55.66,39.92,77.02,54.55,36.14,74.7,50.98,102,47.06999999999999
pf_4555_c10,q,c4p4f2,0.025,39.94,90.67,54.17,41.94,93.15,53.8,45.78,91.57,54.69,128,47.055
pf_5050,q,opt_only,0.05,39.65,83.97,54.46,39.11,83.87,55.21,38.55,84.94,52.17,115,47.055
pf_6040,q,fut_only,0.05,39.36,88.05,54.74,36.29,85.89,50.3,40.96,88.55,52.89,121,47.05
pro_only,r,c4p4f2,0.025,40.23,93.29,53.85,43.55,95.16,56.99,39.76,95.78,48.85,131,47.04
pf_6040,r,fut_only,0.025,40.23,93.29,53.85,39.11,93.55,52.2,42.17,93.98,53.12,128,47.04
pf_6040,q,opt_only,0.025,40.23,94.17,53.82,40.73,91.94,54.75,40.96,91.57,52.0,125,47.025
fii_only,r,fut_only,0.05,40.52,96.79,53.52,39.11,93.95,50.27,45.78,96.39,56.06,132,47.02
fii_only,r,c3p3f4,0.1,39.07,83.97,54.95,41.94,78.23,50.92,43.37,89.76,55.28,123,47.010000000000005
pf_4555_c10,q,opt_only,0.025,39.94,93.29,54.07,40.32,92.34,53.89,40.96,93.98,51.56,128,47.004999999999995
fii_only,q,c2p2f6,0.1,39.65,86.59,54.35,41.53,79.44,51.22,45.18,86.14,56.67,120,47.0
fii_only,r,c3p3f4,0.15,38.48,74.93,55.5,41.94,68.15,51.37,41.57,75.9,57.14,105,46.989999999999995
v2_p0.53_f0.27_c0.20,r,c3p3f4,0.075,38.48,79.01,55.5,38.71,75.81,54.67,41.57,81.93,56.25,112,46.989999999999995
fii_only,r,c3p3f4,0.075,39.94,89.21,54.01,42.74,83.06,51.16,42.17,93.37,54.76,126,46.974999999999994
pf_4555_c10,r,c4p4f2,0.025,40.23,91.84,53.69,42.34,93.55,54.05,45.18,93.98,54.62,130,46.959999999999994
pf_4555_c10,r,c2p2f6,0.1,38.19,71.72,55.73,37.1,77.02,50.98,40.96,76.51,57.14,105,46.959999999999994
fii_only,q,c2p2f6,0.075,39.94,90.09,53.97,41.53,86.29,51.43,43.98,90.36,55.65,124,46.955
v2_p0.53_f0.27_c0.20,q,c4p4f2,0.075,38.78,77.55,55.07,39.52,81.45,54.04,39.76,80.72,53.15,111,46.925
fii_only,q,c3p3f4,0.125,39.65,74.34,54.19,39.92,68.95,51.39,43.37,78.92,57.27,110,46.92
fii_only,q,c3p3f4,0.075,39.65,85.13,54.19,41.13,82.26,52.1,41.57,90.96,54.47,123,46.92
fii_only,r,c3p3f4,0.025,40.52,97.08,53.31,41.53,93.95,50.26,43.98,96.99,55.73,131,46.915000000000006
fii_only,q,fut_only,0.05,40.23,94.46,53.6,38.71,93.15,50.27,45.78,95.78,56.49,131,46.915
pf_6040_c10neg,q,opt_only,0.025,39.94,92.71,53.88,39.52,89.92,53.71,39.76,87.95,51.67,120,46.91
fii_only,r,c2p2f6,0.1,39.65,90.96,54.17,41.13,83.06,50.59,44.58,88.55,56.56,122,46.91
fii_only,r,c3p3f4,0.05,39.94,93.59,53.85,43.15,89.52,50.54,43.37,94.58,55.47,128,46.894999999999996
pf_6040_c10neg,q,c3p3f4,0.075,35.86,62.39,57.93,35.89,62.9,54.4,34.94,68.07,53.26,92,46.894999999999996
pro_only,r,c4p4f2,0.075,38.78,83.38,55.0,41.13,85.89,56.55,37.95,84.34,49.14,116,46.89
fii_only,r,fut_only,0.075,39.94,94.46,53.82,37.9,91.94,50.0,46.99,94.58,56.49,131,46.879999999999995
pf_6040_c10neg,q,c45p45f1,0.05,38.78,79.3,54.98,41.13,80.65,54.32,39.76,80.72,53.15,111,46.879999999999995
pro_only,q,c4p4f2,0.1,37.32,77.55,56.44,39.92,77.42,56.21,36.14,74.7,50.98,102,46.879999999999995
v2_p0.53_f0.27_c0.20,q,opt_only,0.075,39.65,81.92,54.09,41.53,83.47,56.36,39.76,81.33,52.68,112,46.870000000000005
v2_p0.53_f0.27_c0.20,q,c2p2f6,0.075,37.03,74.34,56.7,36.69,78.63,51.95,40.96,82.53,54.87,113,46.865
pro_only,q,c3p3f4,0.2,35.28,53.06,58.45,29.03,41.53,50.0,30.12,51.2,50.0,70,46.865
pf_6040,r,c4p4f2,0.1,37.61,71.14,56.08,38.31,69.35,55.8,38.55,69.28,53.61,97,46.845
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.125,37.9,71.14,55.79,37.9,68.55,53.62,38.55,68.67,54.17,96,46.845
pf_6040,r,c45p45f1,0.025,40.52,95.63,53.15,41.94,93.55,53.51,43.98,93.98,53.08,130,46.835
pro_only,q,c4p4f2,0.125,36.44,72.01,57.22,39.11,67.74,54.35,34.34,68.67,50.0,94,46.83
pro_only,r,c45p45f1,0.075,39.07,86.88,54.59,40.73,83.47,55.15,37.35,83.73,50.0,114,46.83
pf_4555_c10,r,c2p2f6,0.0,40.82,100.0,52.83,39.11,100.0,49.49,46.99,100.0,57.35,136,46.825
pro_only,q,c45p45f1,0.0,40.82,100.0,52.83,43.55,100.0,55.1,40.36,100.0,49.26,136,46.825
fii_only,q,c45p45f1,0.0,40.82,100.0,52.83,42.34,100.0,53.57,42.17,100.0,51.47,136,46.825
fii_only,q,c2p2f6,0.0,40.82,100.0,52.83,39.92,100.0,50.51,45.18,100.0,55.15,136,46.825
pro_only,r,c3p3f4,0.0,40.82,100.0,52.83,42.74,100.0,54.08,41.57,100.0,50.74,136,46.825
fii_only,r,c3p3f4,0.0,40.82,100.0,52.83,39.92,100.0,50.51,45.78,100.0,55.88,136,46.825
pf_6040_c10neg,r,fut_only,0.0,40.82,100.0,52.83,39.92,100.0,50.51,42.77,100.0,52.21,136,46.825
pf_6040_c10neg,r,c45p45f1,0.0,40.82,100.0,52.83,43.55,100.0,55.1,43.98,100.0,53.68,136,46.825
v2_p0.53_f0.27_c0.20,q,c45p45f1,0.0,40.82,100.0,52.83,43.55,100.0,55.1,43.37,100.0,52.94,136,46.825
fii_only,q,fut_only,0.0,40.82,100.0,52.83,39.52,100.0,50.0,45.78,100.0,55.88,136,46.825
fii_only,r,fut_only,0.0,40.82,100.0,52.83,39.52,100.0,50.0,45.78,100.0,55.88,136,46.825
pf_6040,q,c2p2f6,0.075,36.73,68.8,56.91,37.9,74.19,52.7,38.55,77.11,55.77,104,46.81999999999999
