TIMESTAMP,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PRICE,OPTION_TYPE,MARKET_TYPE,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,SETTLE_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,OPEN_INT,CHANGE_IN_OI,MARKET_LOT,UNDERLYING_VALUE
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26650,CE,N,0.0,0.0,0.0,0.85,0.85,0.85,0.0,0,0.0,1105,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,25100,CE,N,3.3,3.3,1.4,1.5,1.4,2.15,1.5,871195,218683.96,547300,191425,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,25050,CE,N,1.95,2.25,1.65,1.75,1.7,2.2,1.75,114595,28708.18,78455,2990,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24650,CE,N,3.4,3.4,2.45,2.6,2.45,3.5,2.6,185445,45717.39,176995,21190,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,25200,CE,N,1.9,2.0,1.35,1.5,1.35,1.9,1.5,381420,96123.8,548600,-37635,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24600,CE,N,3.4,4.1,2.5,2.7,2.5,3.6,2.7,836225,205735.54,1207700,-77610,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26200,CE,N,1.0,1.3,0.8,1.1,0.9,1.2,1.1,43290,11342.42,155090,-7020,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,22200,CE,N,0.0,0.0,0.0,1139.4,1139.4,1139.4,1192.98,0,0.0,1300,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,23950,CE,N,16.65,18.45,10.15,11.2,11.1,15.7,11.2,1206790,289181.6,528775,-2210,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,21900,CE,N,0.0,0.0,0.0,1440.0,1440.0,1440.0,1487.18,0,0.0,585,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24200,CE,N,6.6,7.7,4.7,5.05,4.95,6.95,5.05,3036605,735028.62,3489005,-107510,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26800,CE,N,0.0,0.0,0.0,1.2,1.2,1.2,0.0,0,0.0,2275,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,22450,CE,N,0.0,0.0,0.0,950.0,950.0,950.0,955.39,0,0.0,65,0,65,23346.4
