rule_id,feature,orientation,mode,quantile,threshold_hi,threshold_lo,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
pro_fii_spread_futheavy_lvl_mean4|1|upper|0.700,pro_fii_spread_futheavy_lvl_mean4,1,upper,0.7,0.06976161483727157,,0.113106,22,30.14,22,0,59.09,17,76.47,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_mean4|1|upper|0.750,pro_fii_spread_futheavy_lvl_mean4,1,upper,0.75,0.08147451496241179,,0.113106,19,26.03,19,0,63.16,15,80.0,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_mean4|1|both|0.700,pro_fii_spread_futheavy_lvl_mean4,1,both,0.7,0.06976161483727157,-0.0509876639634886,0.113106,44,60.27,22,22,43.18,33,57.58,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_mean4|1|both|0.750,pro_fii_spread_futheavy_lvl_mean4,1,both,0.75,0.08147451496241179,-0.08245093763303471,0.113106,38,52.05,19,19,44.74,28,60.71,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|upper|0.700,pro_fii_spread_futheavy_lvl_posdays7,1,upper,0.7,1.0,,0.112283,27,36.99,27,0,62.96,22,77.27,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|upper|0.750,pro_fii_spread_futheavy_lvl_posdays7,1,upper,0.75,1.0,,0.112283,27,36.99,27,0,62.96,22,77.27,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|upper|0.800,pro_fii_spread_futheavy_lvl_posdays7,1,upper,0.8,1.0,,0.112283,27,36.99,27,0,62.96,22,77.27,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|upper|0.850,pro_fii_spread_futheavy_lvl_posdays7,1,upper,0.85,1.0,,0.112283,27,36.99,27,0,62.96,22,77.27,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|upper|0.900,pro_fii_spread_futheavy_lvl_posdays7,1,upper,0.9,1.0,,0.112283,27,36.99,27,0,62.96,22,77.27,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_posdays7|1|both|0.700,pro_fii_spread_futheavy_lvl_posdays7,1,both,0.7,1.0,0.08571428571428591,0.112283,49,67.12,27,22,48.98,38,63.16,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
